id.exposure	id.outcome	outcome	exposure	pt	outliers_removed	n_outliers	RSSobs	pval
IqxO10	nmFSIR	Niarchou2020meat	Huang2017aaos	5e-6	TRUE	0	NA	NA
h1DzPh	QBhCA6	Niarchou2020fish	Huang2017aaos	5e-6	TRUE	0	NA	NA
1TMwVV	RBXxVT	Willer2013hdl	Huang2017aaos	5e-6	TRUE	0	NA	NA
vyULli	gH9J1g	Willer2013ldl	Huang2017aaos	5e-6	TRUE	0	NA	NA
OnMPlk	w6OPFN	Willer2013tc	Huang2017aaos	5e-6	TRUE	0	NA	NA
hCNSUg	Ud0yUH	Willer2013tg	Huang2017aaos	5e-6	TRUE	2	15.13917521898931	0.77
LJXKId	OGAVQG	Dashti2019slepdur	Huang2017aaos	5e-6	TRUE	1	45.7832531797403	0.1422
Y9MM0f	Srn5AL	Klimentidis2018mvpa	Huang2017aaos	5e-6	TRUE	0	NA	NA
82OL8I	sIwbTv	Day2018sociso	Huang2017aaos	5e-6	TRUE	0	NA	NA
reZmkx	HZxbt9	Wells2019hdiff	Huang2017aaos	5e-6	TRUE	0	NA	NA
XIAx4r	hmlhVf	Evangelou2018dbp	Huang2017aaos	5e-6	TRUE	2	35.07248233867449	0.209
ivpatQ	laYxOs	Evangelou2018sbp	Huang2017aaos	5e-6	TRUE	0	NA	NA
S35mKE	rdhqcB	Evangelou2018pp	Huang2017aaos	5e-6	TRUE	0	NA	NA
qGu2Z6	BAY22b	Lee2018education23andMe	Huang2017aaos	5e-6	TRUE	5	51.5232592588419	0.019
x4V9Uf	rsg7rX	SanchezRoige2019auditt23andMe	Huang2017aaos	5e-6	TRUE	0	NA	NA
HyYs5D	XNmH6t	Howard2019dep23andMe	Huang2017aaos	5e-6	TRUE	1	53.03130887213991	0.018
z2UsCC	NHESKA	Jansen2018insomnia23andMe	Huang2017aaos	5e-6	TRUE	2	44.33702626352679	0.067
Np3uhQ	atbZsa	Liu2019smkint23andMe	Huang2017aaos	5e-6	TRUE	2	43.62999936605275	0.1582
1oMk1z	4XBNit	Liu2019smkcpd23andMe	Huang2017aaos	5e-6	TRUE	0	NA	NA
gUu6CA	1r2NOa	Liu2019drnkwk23andMe	Huang2017aaos	5e-6	TRUE	2	35.61254269605871	0.449
G63zJq	O43gCO	Yengo2018bmi	Deming2017ab42	5e-6	TRUE	1	7.194236296606996	0.505
kycJnI	pr7x92	Xue2018diab	Deming2017ab42	5e-6	TRUE	0	NA	NA
Q56QmJ	eHZ3iR	Niarchou2020meat	Deming2017ab42	5e-6	TRUE	0	NA	NA
xZ1ksX	FzHZdY	Niarchou2020fish	Deming2017ab42	5e-6	TRUE	0	NA	NA
JF5o25	MYbdRo	Willer2013hdl	Deming2017ab42	5e-6	TRUE	0	NA	NA
lGpV1e	C8SXj8	Willer2013ldl	Deming2017ab42	5e-6	TRUE	0	NA	NA
99X4k6	i5TeYm	Willer2013tc	Deming2017ab42	5e-6	TRUE	0	NA	NA
IP7utS	IUa1Gk	Willer2013tg	Deming2017ab42	5e-6	TRUE	0	NA	NA
asKrd2	3BhotT	Dashti2019slepdur	Deming2017ab42	5e-6	TRUE	0	NA	NA
oqDVIo	0GYsUq	Klimentidis2018mvpa	Deming2017ab42	5e-6	TRUE	0	NA	NA
6yzdLH	LT9Y0S	Day2018sociso	Deming2017ab42	5e-6	TRUE	0	NA	NA
YcWZlo	0DZU9Y	Wells2019hdiff	Deming2017ab42	5e-6	TRUE	0	NA	NA
KgwNjR	XhgUw1	Evangelou2018dbp	Deming2017ab42	5e-6	TRUE	0	NA	NA
ACFmkE	xqHTp0	Evangelou2018sbp	Deming2017ab42	5e-6	TRUE	0	NA	NA
XhwcVQ	T4VnB8	Evangelou2018pp	Deming2017ab42	5e-6	TRUE	0	NA	NA
MD6t1H	o7h21i	Lee2018education23andMe	Deming2017ab42	5e-6	TRUE	1	23.595456931059964	0.024
